"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
931,1.759,1.172,0.879,0.293,5685670394331826176,101568703.856,4062748.154,0.046,43.749,43.344,43.056,0.045
932,1.759,1.172,0.879,0.293,5945438027031213056,103600077.933,4144003.117,0.046,43.794,43.388,43.101,0.045
933,1.759,1.172,0.879,0.293,6217073928345776128,105672079.492,4226883.18,0.046,43.839,43.433,43.145,0.045
934,1.759,1.172,0.879,0.293,6501120334999161856,107785521.082,4311420.843,0.046,43.883,43.478,43.19,0.045
935,1.759,1.172,0.879,0.293,6798144257359986688,109941231.503,4397649.26,0.046,43.928,43.522,43.235,0.045
936,1.759,1.172,0.879,0.293,7108738611295960064,112140056.133,4485602.245,0.046,43.973,43.567,43.279,0.045
937,1.759,1.172,0.879,0.293,7433523401739931648,114382857.256,4575314.29,0.046,44.017,43.612,43.324,0.045
938,1.759,1.172,0.879,0.293,7773146960330461184,116670514.401,4666820.576,0.046,44.062,43.656,43.369,0.045
939,1.759,1.172,0.879,0.293,8128287239597458432,119003924.689,4760156.988,0.046,44.107,43.701,43.413,0.045
940,1.759,1.172,0.879,0.293,8499653166276311040,121384003.183,4855360.127,0.046,44.151,43.746,43.458,0.045
941,1.759,1.172,0.879,0.293,8887986056451947520,123811683.247,4952467.33,0.046,44.196,43.79,43.503,0.045
942,1.759,1.172,0.879,0.293,9294061095357706240,126287916.911,5051516.676,0.046,44.241,43.835,43.547,0.045
943,1.759,1.172,0.879,0.293,9718688884782948352,128813675.25,5152547.01,0.046,44.286,43.88,43.592,0.045
944,1.759,1.172,0.879,0.293,10162717061178302464,131389948.755,5255597.95,0.046,44.33,43.924,43.637,0.045
945,1.759,1.172,0.879,0.293,10627031987688566784,134017747.73,5360709.909,0.046,44.375,43.969,43.681,0.045
946,1.759,1.172,0.879,0.293,11112560523490840576,136698102.684,5467924.107,0.046,44.42,44.014,43.726,0.045
947,1.759,1.172,0.879,0.293,11620271873969805312,139432064.738,5577282.59,0.046,44.464,44.058,43.771,0.045
948,1.759,1.172,0.879,0.293,12151179525423417344,142220706.033,5688828.241,0.046,44.509,44.103,43.815,0.045
949,1.759,1.172,0.879,0.293,1.2706343268161e+19,145065120.154,5802604.806,0.046,44.554,44.148,43.86,0.045
950,1.759,1.172,0.879,0.293,13286871312032319488,147966422.557,5918656.902,0.046,44.598,44.192,43.905,0.045
951,1.759,1.172,0.879,0.293,13893922498610198528,150925751.008,6037030.04,0.046,44.643,44.237,43.949,0.045
952,1.759,1.172,0.879,0.293,14528708614443241472,153944266.028,6157770.641,0.046,44.688,44.282,43.994,0.045
953,1.759,1.172,0.879,0.293,15192496809995646976,157023151.348,6280926.054,0.046,44.732,44.326,44.039,0.045
954,1.759,1.172,0.879,0.293,15886612129103134720,160163614.375,6406544.575,0.046,44.777,44.371,44.083,0.045
955,1.759,1.172,0.879,0.293,16612440153994061824,163366886.663,6534675.467,0.046,44.822,44.416,44.128,0.045
956,1.759,1.172,0.879,0.293,17371429771155697664,166634224.396,6665368.976,0.046,44.866,44.46,44.173,0.045
957,1.759,1.172,0.879,0.293,18165096063566757888,169966908.884,6798676.355,0.046,44.911,44.505,44.217,0.045
958,1.759,1.172,0.879,0.293,18995023335069634560,173366247.062,6934649.882,0.046,44.956,44.55,44.262,0.045
959,1.759,1.172,0.879,0.293,19862868272919445504,176833572.003,7073342.88,0.046,45,44.594,44.307,0.045
960,1.759,1.172,0.879,0.293,20770363254822928384,180370243.443,7214809.738,0.046,45.045,44.639,44.351,0.045
961,1.759,1.172,0.879,0.293,21719319807068565504,183977648.312,7359105.932,0.046,45.09,44.684,44.396,0.045
962,1.759,1.172,0.879,0.293,2.2711632220651e+19,187657201.278,7506288.051,0.046,45.134,44.728,44.441,0.045
963,1.759,1.172,0.879,0.293,2.3749281332608e+19,191410345.304,7656413.812,0.046,45.179,44.773,44.485,0.045
964,1.759,1.172,0.879,0.293,24834338480118624256,195238552.21,7809542.088,0.046,45.224,44.818,44.53,0.045
965,1.759,1.172,0.879,0.293,25968969635254726656,199143323.254,7965732.93,0.046,45.268,44.863,44.575,0.045
966,1.759,1.172,0.879,0.293,27155439728640655360,203126189.719,8125047.589,0.046,45.313,44.907,44.62,0.045
967,1.759,1.172,0.879,0.293,28396117170650923008,207188713.513,8287548.541,0.046,45.358,44.952,44.664,0.045
968,1.759,1.172,0.879,0.293,29693478579171446784,211332487.784,8453299.511,0.046,45.402,44.997,44.709,0.045
969,1.759,1.172,0.879,0.293,31050113723361607680,215559137.539,8622365.502,0.046,45.447,45.041,44.754,0.045
970,1.759,1.172,0.879,0.293,32468730693285781504,219870320.29,8794812.812,0.046,45.492,45.086,44.798,0.045
971,1.759,1.172,0.879,0.293,33952161305733754880,224267726.696,8970709.068,0.046,45.536,45.131,44.843,0.045
972,1.759,1.172,0.879,0.293,3.5503366757021e+19,228753081.23,9150123.249,0.046,45.581,45.175,44.888,0.045
973,1.759,1.172,0.879,0.293,37125443534052835328,233328142.855,9333125.714,0.046,45.626,45.22,44.932,0.045
974,1.759,1.172,0.879,0.293,38821629595451654144,237994705.712,9519788.228,0.046,45.67,45.265,44.977,0.045
975,1.759,1.172,0.879,0.293,40595310835086327808,242754599.826,9710183.993,0.046,45.715,45.309,45.022,0.045
976,1.759,1.172,0.879,0.293,42450027840905601024,247609691.822,9904387.673,0.046,45.76,45.354,45.066,0.045
977,1.759,1.172,0.879,0.293,44389482962567487488,252561885.659,10102475.426,0.046,45.804,45.399,45.111,0.045
978,1.759,1.172,0.879,0.293,46417547701972860928,257613123.372,10304524.935,0.046,45.849,45.443,45.156,0.045
