t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g,k
169,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.03674E+16,1.03674E+16,36.87744408,36.87744408,36.44666117,0.223143551,1.03674E+16
170,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.29593E+16,1.29593E+16,37.10058763,37.10058763,36.66980472,0.223143551,1.29593E+16
171,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.61991E+16,1.61991E+16,37.32373119,37.32373119,36.89294827,0.223143551,1.61991E+16
172,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.02489E+16,2.02489E+16,37.54687474,37.54687474,37.11609182,0.223143551,2.02489E+16
173,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.53111E+16,2.53111E+16,37.77001829,37.77001829,37.33923537,0.223143551,2.53111E+16
174,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.16388E+16,3.16388E+16,37.99316184,37.99316184,37.56237892,0.223143551,3.16388E+16
175,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.95485E+16,3.95485E+16,38.21630539,38.21630539,37.78552247,0.223143551,3.95485E+16
176,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.94357E+16,4.94357E+16,38.43944894,38.43944894,38.00866603,0.223143551,4.94357E+16
177,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6.17946E+16,6.17946E+16,38.66259249,38.66259249,38.23180958,0.223143551,6.17946E+16
178,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7.72433E+16,7.72433E+16,38.88573604,38.88573604,38.45495313,0.223143551,7.72433E+16
179,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,9.65541E+16,9.65541E+16,39.1088796,39.1088796,38.67809668,0.223143551,9.65541E+16
180,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.20693E+17,1.20693E+17,39.33202315,39.33202315,38.90124023,0.223143551,1.20693E+17
181,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.50866E+17,1.50866E+17,39.5551667,39.5551667,39.12438378,0.223143551,1.50866E+17
